0,171,70.000000,-40.000000,0.000000,0.000000,-0.416135,1.95623,0,3
0.5,171,70.000000,-40.000000,-0.208067,0.978115,-0.416135,1.95623,0,3
1,171,69.895966,-39.510944,-0.416135,1.956229,-0.416135,1.95623,0,3
1.5,171,69.687897,-38.532829,-0.624202,2.934344,-0.416134,1.95623,-4.8801e-09,3
2,171,69.375793,-37.065659,-0.832269,3.912458,-0.416134,1.95623,-1.46403e-08,3
2.5,171,68.959656,-35.109428,-0.832269,3.912458,-0.416134,1.95623,-2.92806e-08,3
3,171,68.543518,-33.153198,-0.832269,3.912458,-0.416134,1.95623,-4.8801e-08,3
3.5,171,68.127380,-31.196970,-0.832269,3.912458,-0.416134,1.95623,-7.32015e-08,3
4,171,67.711243,-29.240742,-0.832268,3.912458,-0.416134,1.95623,-1.02482e-07,3
4.5,171,67.295105,-27.284512,-0.832268,3.912458,-0.416133,1.95623,-1.36643e-07,3
5,171,66.878967,-25.328281,-0.832267,3.912458,-0.416133,1.95623,-1.75683e-07,3
5.5,171,66.462837,-23.372051,-0.840764,3.910641,-0.437354,1.95159,-2.19604e-07,3
6,171,66.042458,-21.416731,-0.873289,3.903507,-0.501392,1.93613,-2.68405e-07,3
6.5,171,65.605812,-19.464977,-0.925497,3.891459,-0.566335,1.91814,-3.22137e-07,3
7,171,65.143066,-17.519247,-0.993438,3.874672,-0.631078,1.89783,-3.80993e-07,3
7.5,171,64.646347,-15.581911,-1.073518,3.853253,-0.69461,1.8755,-4.45285e-07,3
8,171,64.109589,-13.655285,-1.162477,3.827355,-0.756033,1.8516,-5.15422e-07,3
8.5,171,63.528351,-11.741608,-1.257378,3.797236,-0.814589,1.82659,-5.91884e-07,3
9,171,62.899662,-9.842990,-1.355605,3.763288,-0.86967,1.80102,-6.75212e-07,3
9.5,171,62.221859,-7.961346,-1.454863,3.726040,-0.920829,1.77541,-7.65985e-07,3
10,171,61.494427,-6.098326,-1.553190,3.686136,-0.96777,1.75026,-8.64809e-07,3
10.5,171,60.717831,-4.255258,-1.648945,3.644308,-1.01034,1.72604,-9.72299e-07,3
11,171,59.893356,-2.433104,-1.740809,3.601331,-1.04853,1.70311,-1.08907e-06,3
11.5,171,59.022953,-0.632438,-1.827764,3.557988,-1.08239,1.68179,-1.21574e-06,3
12,171,58.109070,1.146556,-1.909073,3.515031,-1.1121,1.6623,-1.3529e-06,3
12.5,171,57.154533,2.904071,-1.984246,3.473149,-1.13787,1.64476,-1.5011e-06,3
13,171,56.162411,4.640646,-2.068915,3.423389,-1.19755,1.60184,-1.66088e-06,3
13.5,171,55.127953,6.352340,-2.211011,3.333381,-1.37004,1.45704,-1.83275e-06,3
14,171,54.022446,8.019031,-2.416246,3.187751,-1.57019,1.23875,-2.01728e-06,3
14.5,171,52.814323,9.612906,-2.687216,2.962916,-1.77886,0.91415,-2.21544e-06,3
15,171,51.470715,11.094363,-3.014102,2.629675,-1.94613,0.461049,-2.42871e-06,3
15.5,171,49.963665,12.409201,-3.362997,2.165699,-1.99794,-0.0906799,-2.65913e-06,3
16,171,48.282166,13.492050,-3.677295,1.574008,-1.89429,-0.641623,-2.90941e-06,3
16.5,171,46.443520,14.279055,-3.900270,0.887635,-1.67488,-1.09306,-3.18295e-06,3
17,171,44.493385,14.722872,-3.996973,0.155579,-1.41173,-1.41669,-3.48365e-06,3
17.5,171,42.494900,14.800661,-3.953445,-0.608499,-1.04875,-1.70297,-3.8157e-06,3
18,171,40.518177,14.496411,-3.786109,-1.290496,-0.901448,-1.78533,-4.18343e-06,3
18.5,171,38.625122,13.851163,-3.532322,-1.876885,-0.763896,-1.84837,-4.59128e-06,3
19,171,36.858959,12.912721,-3.226586,-2.364136,-0.643147,-1.89377,-5.04336e-06,3
19.5,171,35.245667,11.730653,-2.898586,-2.756483,-0.542973,-1.92488,-5.542e-06,3
20,171,33.796371,10.352411,-2.571931,-3.063523,-0.464336,-1.94535,-6.08721e-06,3
20.5,171,32.510406,8.820650,-2.263759,-3.297786,-0.406303,-1.95829,-6.67898e-06,3
21,171,31.378527,7.171757,-1.985187,-3.472612,-0.366907,-1.96606,-7.31732e-06,3
21.5,171,30.385933,5.435451,-1.742310,-3.600605,-0.343759,-1.97024,-8.00223e-06,3
22,171,29.514778,3.635149,-1.537410,-3.692745,-0.334421,-1.97184,-8.7337e-06,3
22.5,171,28.746073,1.788776,-1.370123,-3.758026,-0.336595,-1.97147,-9.51174e-06,3
23,171,28.061010,-0.090237,-1.238394,-3.803470,-0.348196,-1.96946,-1.03363e-05,3
23.5,171,27.441814,-1.991972,-1.139200,-3.834348,-0.367364,-1.96597,-1.12075e-05,3
24,171,26.872213,-3.909146,-1.069056,-3.854494,-0.392458,-1.96112,-1.21252e-05,3
24.5,171,26.337685,-5.836393,-1.024331,-3.866620,-0.422029,-1.95497,-1.30896e-05,3
25,171,25.825520,-7.769703,-1.001456,-3.872607,-0.454803,-1.9476,-1.41004e-05,3
25.5,171,25.324791,-9.706007,-0.997033,-3.873749,-0.489663,-1.93913,-1.51579e-05,3
26,171,24.826275,-11.642881,-1.007897,-3.870936,-0.525638,-1.92969,-1.62619e-05,3
26.5,171,24.322327,-13.578349,-1.031149,-3.864807,-0.561891,-1.91945,-1.74124e-05,3
27,171,23.806753,-15.510753,-1.064162,-3.855847,-0.597718,-1.90859,-1.86096e-05,3
27.5,171,23.274672,-17.438677,-1.104587,-3.844462,-0.632535,-1.89734,-1.98533e-05,3
28,171,22.722378,-19.360909,-1.150347,-3.831018,-0.665875,-1.8859,-2.11435e-05,3
28.5,171,22.147203,-21.276417,-1.199628,-3.815874,-0.69738,-1.87448,-2.24804e-05,3
29,171,21.547390,-23.184353,-1.287542,-3.787114,-0.816151,-1.8259,-2.38638e-05,3
29.5,171,20.903618,-25.077909,-1.435070,-3.733708,-1.0015,-1.73118,-2.52937e-05,3
30,171,20.186083,-26.944763,-1.663248,-3.637802,-1.25576,-1.55662,-2.67702e-05,3
30.5,171,19.354460,-28.763664,-2.003443,-3.462111,-1.5876,-1.21635,-2.82933e-05,3
31,171,18.352737,-30.494720,-2.479225,-3.139019,-1.9157,-0.574538,-2.9863e-05,3
31.5,171,17.113125,-32.064232,-3.037976,-2.602057,-1.97028,0.343514,-3.14792e-05,3
32,171,15.594137,-33.365261,-3.538279,-1.865632,-1.64981,1.13055,-3.3142e-05,3
32.5,171,13.824998,-34.298077,-3.872242,-1.002867,-1.22439,1.58141,-3.48514e-05,3
33,171,11.888877,-34.799511,-3.999259,-0.076990,-0.780005,1.84163,-3.66073e-05,3
33.5,171,9.889248,-34.838005,-3.919618,0.797868,-0.60693,1.90569,-3.84057e-05,3
34,171,7.929439,-34.439072,-3.676771,1.575231,-0.439513,1.95111,-4.02411e-05,3
34.5,171,6.091053,-33.651455,-3.321365,2.229021,-0.289537,1.97893,-4.21085e-05,3
35,171,4.430370,-32.536945,-2.903235,2.751586,-0.164117,1.99325,-4.40029e-05,3
35.5,171,2.978753,-31.161152,-2.465497,3.149814,-0.0657448,1.99892,-4.59202e-05,3
36,171,1.746005,-29.586245,-2.041154,3.440013,0.00636263,1.99999,-4.78564e-05,3
36.5,171,0.725428,-27.866238,-1.652330,3.642775,0.0547474,1.99925,-4.98081e-05,3
37,171,-0.100737,-26.044849,-1.311502,3.778884,0.0826024,1.99829,-5.17722e-05,3
37.5,171,-0.756488,-24.155407,-1.023741,3.866776,0.0931296,1.99783,-5.37462e-05,3
38,171,-1.268358,-22.222019,-0.789081,3.921397,0.0892533,1.99801,-5.57281e-05,3
38.5,171,-1.662899,-20.261320,-0.604524,3.954055,0.0735322,1.99865,-5.77159e-05,3
39,171,-1.965161,-18.284292,-0.465498,3.972821,0.0481769,1.99942,-5.97038e-05,3
39.5,171,-2.197910,-16.297882,-0.366810,3.983146,0.015103,1.99994,-6.16916e-05,3
40,171,-2.381315,-14.306309,-0.303207,3.988492,-0.0240126,1.99986,-6.36795e-05,3
40.5,171,-2.532919,-12.312063,-0.269676,3.990899,-0.0676804,1.99885,-6.56673e-05,3
41,171,-2.667757,-10.316614,-0.261568,3.991439,-0.114563,1.99672,-6.76552e-05,3
41.5,171,-2.798541,-8.320895,-0.274643,3.990560,-0.163456,1.99331,-6.9643e-05,3
42,171,-2.935863,-6.325615,-0.305060,3.988350,-0.213276,1.9886,-7.16309e-05,3
42.5,171,-3.088393,-4.331440,-0.349359,3.984714,-0.263061,1.98262,-7.36187e-05,3
43,171,-3.263072,-2.339083,-0.404431,3.979502,-0.311973,1.97552,-7.56066e-05,3
43.5,171,-3.465288,-0.349332,-0.467500,3.972586,-0.3593,1.96746,-7.75944e-05,3
44,171,-3.699038,1.636961,-0.536104,3.963911,-0.404458,1.95868,-7.95823e-05,3
44.5,171,-3.967090,3.618917,-0.608083,3.953509,-0.446993,1.94941,-8.15701e-05,3
45,171,-4.271132,5.595672,-0.681568,3.941506,-0.486571,1.93991,-8.3558e-05,3
45.5,171,-4.611915,7.566424,-0.754970,3.928107,-0.522974,1.93041,-8.55458e-05,3
46,171,-4.989400,9.530478,-0.826967,3.913582,-0.556082,1.92114,-8.75337e-05,3
46.5,171,-5.402883,11.487268,-0.896488,3.898244,-0.585866,1.91227,-8.95215e-05,3
47,171,-5.851127,13.436391,-0.962695,3.882424,-0.612366,1.90395,-9.15142e-05,3
47.5,171,-6.332475,15.377604,-1.024959,3.866453,-0.635684,1.89629,-9.35122e-05,3
48,171,-6.844954,17.310829,-1.082841,3.850643,-0.655965,1.88937,-9.55158e-05,3
48.5,171,-7.386375,19.236151,-1.136064,3.835278,-0.673388,1.88323,-9.75255e-05,3
49,171,-7.954407,21.153790,-1.184492,3.820599,-0.688154,1.87788,-9.95415e-05,3
49.5,171,-8.546653,23.064089,-1.262114,3.795665,-0.783674,1.84007,-0.000101564,3
50,171,-9.177710,24.961922,-1.395266,3.748764,-0.955216,1.75715,-0.000103594,3
50.5,171,-9.875342,26.836304,-1.605874,3.663492,-1.19799,1.60151,-0.000105631,3
51,171,-10.678279,28.668049,-1.930685,3.503206,-1.53372,1.28362,-0.000107677,3
51.5,171,-11.643621,30.419651,-2.409019,3.193216,-1.89864,0.628626,-0.000109732,3
52,171,-12.848131,32.016258,-2.996406,2.649821,-1.96137,-0.391175,-0.000111799,3
52.5,171,-14.346334,33.341167,-3.524885,1.890817,-1.56475,-1.24562,-0.000113881,3
53,171,-16.108776,34.286575,-3.873099,0.999551,-1.07945,-1.68368,-0.000115982,3
53.5,171,-18.045326,34.786350,-3.999717,0.047588,-0.626048,-1.89949,-0.000118109,3
54,171,-20.045185,34.810143,-3.906986,-0.857591,-0.447495,-1.94929,-0.000120267,3
54.5,171,-21.998678,34.381348,-3.638089,-1.662621,-0.274148,-1.98112,-0.00012246,3
55,171,-23.817722,33.550037,-3.246669,-2.336481,-0.118646,-1.99648,-0.000124696,3
55.5,171,-25.441057,32.381798,-2.787084,-2.869175,0.0113306,-1.99997,-0.000126978,3
56,171,-26.834599,30.947210,-2.307001,-3.267682,0.113109,-1.9968,-0.000129306,3
56.5,171,-27.988100,29.313370,-1.842998,-3.550121,0.187559,-1.99119,-0.000131681,3
57,171,-28.909599,27.538309,-1.419378,-3.739701,0.237428,-1.98586,-0.000134103,3
57.5,171,-29.619289,25.668459,-1.049509,-3.859862,0.266111,-1.98222,-0.000136571,3
58,171,-30.144045,23.738527,-0.738414,-3.931252,0.276966,-1.98073,-0.000139086,3
58.5,171,-30.513252,21.772902,-0.485549,-3.970421,0.273016,-1.98128,-0.000141647,3
59,171,-30.756027,19.787691,-0.287129,-3.989681,0.256868,-1.98344,-0.000144255,3
59.5,171,-30.899591,17.792850,-0.137791,-3.997626,0.230749,-1.98664,-0.000146909,3
60,171,-30.968487,15.794038,-0.031650,-3.999875,0.196568,-1.99032,-0.00014961,3
60.5,171,-30.984312,13.794101,0.037100,-3.999828,0.155996,-1.99391,-0.000152358,3
61,171,-30.965761,11.794187,0.073898,-3.999317,0.110513,-1.99694,-0.000155152,3
61.5,171,-30.928812,9.794528,0.083704,-3.999124,0.0614617,-1.99906,-0.0001579,3
62,171,-30.886961,7.794966,0.070990,-3.999370,0.0100644,-1.99997,-0.000160601,3
62.5,171,-30.851465,5.795280,0.039773,-3.999802,-0.0425613,-1.99955,-0.000163255,3
63,171,-30.831579,3.795379,-0.006346,-3.999995,-0.0954069,-1.99772,-0.000165863,3
63.5,171,-30.834753,1.795382,-0.064133,-3.999486,-0.147572,-1.99455,-0.000168424,3
64,171,-30.866819,-0.204361,-0.130691,-3.997864,-0.19828,-1.99015,-0.000171032,3
64.5,171,-30.932165,-2.203294,-0.203439,-3.994823,-0.246878,-1.9847,-0.000173687,3
65,171,-31.033884,-4.200705,-0.280095,-3.990181,-0.292842,-1.97844,-0.000176388,3
65.5,171,-31.173931,-6.195796,-0.358665,-3.983887,-0.335777,-1.97161,-0.000179135,3
66,171,-31.353264,-8.187739,-0.437439,-3.976009,-0.375409,-1.96445,-0.000181929,3
66.5,171,-31.571983,-10.175744,-0.514975,-3.966712,-0.411576,-1.95719,-0.00018477,3
67,171,-31.829472,-12.159100,-0.590089,-3.956235,-0.444211,-1.95005,-0.000187657,3
67.5,171,-32.124516,-14.137217,-0.661842,-3.944866,-0.473334,-1.94318,-0.000190591,3
68,171,-32.455437,-16.109650,-0.729517,-3.932913,-0.499031,-1.93674,-0.000193572,3
68.5,171,-32.820194,-18.076107,-0.792600,-3.920687,-0.521443,-1.93083,-0.000196599,3
69,171,-33.216496,-20.036451,-0.850755,-3.908480,-0.540748,-1.92551,-0.000199672,3
69.5,171,-33.641872,-21.990692,-0.903800,-3.896556,-0.557155,-1.92083,-0.000202792,3
70,171,-34.093773,-23.938971,-0.951684,-3.885138,-0.570888,-1.91679,-0.000205959,3
70.5,171,-34.569614,-25.881540,-0.994462,-3.874409,-0.582184,-1.91339,-0.000209172,3
71,171,-35.066845,-27.818745,-1.032279,-3.864506,-0.591278,-1.9106,-0.000212432,3
71.5,171,-35.582985,-29.750998,-1.065342,-3.855522,-0.598407,-1.90838,-0.000215738,3
72,171,-36.115654,-31.678759,-1.093913,-3.847513,-0.603798,-1.90668,-0.000219091,3
