van Gerwen,Michael,Mighty Mike,100.19,17,75.56,1,39
Wright,Peter,Snake Bite,99.44,2,73.77,2,74
Price,Gerwyn,The Iceman,99.66,0,68.18,3,48
Smith,Michael,Bully Boy,95.78,3,65.31,10,106
White,Ian,Diamond,98.89,5,69.44,6,8
Durrant,Glen,Duzza,98.13,1,70.45,8,51
